reg_code,National,ISO3,ISO3-numeric,ISO2,FIPS,COACCH,IMAGE26,NGFS downscaled,Continent,Sub-region
TGO,TGO,TGO,768,TG,TO,SSA,WAF,TGO,Africa,Sub-Saharan Africa
THA,THA,THA,764,TH,TH,SEAS,SEAS,THA,Asia,South-eastern Asia
TJK,TJK,TJK,762,TJ,TI,FSU,STAN,TJK,Asia,Central Asia
TKL,NZL,TKL,772,TK,TL,OCE,OCE,,Oceania,Polynesia
TKM,TKM,TKM,795,TM,TX,FSU,STAN,TKM,Asia,Central Asia
TLS,TLS,TLS,626,TL,TT,SEAS,INDO,,Asia,South-eastern Asia
TON,TON,TON,776,TO,TN,OCE,OCE,,Oceania,Polynesia
TTO,TTO,TTO,780,TT,TD,Laca,RCAM,TTO,Americas,Latin America and the Caribbean
TUN,TUN,TUN,788,TN,TS,NAF,NAF,TUN,Africa,Northern Africa
TUR,TUR,TUR,792,TR,TU,MiddleEast,TUR,TUR,Asia,Western Asia
TUV,TUV,TUV,798,TV,TV,OCE,OCE,,Oceania,Polynesia
TWN,CHN,TWN,158,TW,TW,CHN,CHN,TWN,Asia,Eastern Asia
TZA,TZA,TZA,834,TZ,TZ,SSA,RSAF,TZA,Africa,Sub-Saharan Africa
UGA,UGA,UGA,800,UG,UG,SSA,EAF,UGA,Africa,Sub-Saharan Africa
UKR,UKR,UKR,804,UA,UP,FSU,UKR,UKR,Europe,Eastern Europe
UMI,USA,UMI,581,UM,UM,USA,USA,,Oceania,Micronesia
URY,URY,URY,858,UY,UY,Laca,RSAM,URY,Americas,Latin America and the Caribbean
US-01,USA,USA,840,US,US,USA,USA,USA,Americas,Northern America
US-02,USA,USA,840,US,US,USA,USA,USA,Americas,Northern America
US-03,USA,USA,840,US,US,USA,USA,USA,Americas,Northern America
US-04,USA,USA,840,US,US,USA,USA,USA,Americas,Northern America
US-05,USA,USA,840,US,US,USA,USA,USA,Americas,Northern America
US-06,USA,USA,840,US,US,USA,USA,USA,Americas,Northern America
US-07,USA,USA,840,US,US,USA,USA,USA,Americas,Northern America
US-08,USA,USA,840,US,US,USA,USA,USA,Americas,Northern America
US-09,USA,USA,840,US,US,USA,USA,USA,Americas,Northern America
USA,USA,USA,840,US,US,USA,USA,USA,Americas,Northern America
US-AK,USA,USA,840,US,US,USA,USA,USA,Americas,Northern America
US-HI,USA,USA,840,US,US,USA,USA,USA,Americas,Northern America
UZB,UZB,UZB,860,UZ,UZ,FSU,STAN,UZB,Asia,Central Asia
VAT,VAT,VAT,336,VA,VT,WEU,WEU,,Europe,Southern Europe
VCT,VCT,VCT,670,VC,VC,Laca,RCAM,,Americas,Latin America and the Caribbean
VEN,VEN,VEN,862,VE,VE,Laca,RSAM,VEN,Americas,Latin America and the Caribbean
VGB,GBR,VGB,92,VG,VI,Laca,WEU,,Americas,Latin America and the Caribbean
VIR,USA,VIR,850,VI,VO,USA,USA,,Americas,Latin America and the Caribbean
VNM,VNM,VNM,704,VN,VM,SEAS,SEAS,VNM,Asia,South-eastern Asia
VUT,VUT,VUT,548,VU,NH,OCE,OCE,,Oceania,Melanesia
WLF,FRA,WLF,876,WF,WF,OCE,WEU,,Oceania,Polynesia
WSM,WSM,WSM,882,WS,WS,OCE,OCE,,Oceania,Polynesia
XAB,XXX,XAB,999,XX,XX,SSA,EAF,,Africa,
XAC,CHN,CHN,156,CN,CH,CHN,CHN,,Asia,Eastern Asia
XAD,GBR,GBR,826,GB,UK,WEU,WEU,,Europe,Northern Europe
XAL,XXX,XXX,999,XX,XX,,,,,
XAP,CHN,CHN,156,CN,CH,CHN,CHN,,Asia,Eastern Asia
XBT,XXX,XXX,999,XX,XX,,,,Africa,
XCI,FRA,CPT,830,CP,IP,OCE,WEU,,Oceania,
XCS,XXX,XXX,999,XX,XX,,,,,
XGK,XXX,XXX,999,XX,XX,,,,Asia,
XGL,XXX,XXX,999,XX,XX,,,,Americas,
XHT,XXX,XXX,999,XX,XX,,,,Africa,
XHV,CHN,CHN,156,CN,CH,CHN,CHN,,Asia,Eastern Asia
XIT,XXX,XXX,999,XX,XX,,,,Africa,
XKI,XXX,XXX,999,XX,PJ,,,,Asia,
XKO,SRB,XKX,#N/A,XK,KV,WEU,CEU,,Europe,
XPI,CHN,CHN,156,CN,CH,CHN,CHN,,Asia,Eastern Asia
XSC,XXX,XXX,999,XX,XX,,,,Africa,
XSI,CHN,CHN,156,CN,CH,CHN,CHN,,Asia,Eastern Asia
XSK,CHN,CHN,156,CN,CH,CHN,CHN,,Asia,Eastern Asia
XSS,CHN,CHN,156,CN,CH,CHN,CHN,,Asia,Eastern Asia
YEM,YEM,YEM,887,YE,YM,MiddleEast,ME,YEM,Asia,Western Asia
ZAF,ZAF,ZAF,710,ZA,SF,RSAF,SAF,ZAF,Africa,Sub-Saharan Africa
ZMB,ZMB,ZMB,894,ZM,ZA,SSA,RSAF,ZMB,Africa,Sub-Saharan Africa
ZWE,ZWE,ZWE,716,ZW,RH,SSA,RSAF,ZWE,Africa,Sub-Saharan Africa
